title,question,answer,url
linux - Running Selenium WebDriver Python bindings in Chrome,"I ran into a problem while working with Selenium. For my project, I have to use Chrome. However, I can't connect to that browser after launching it with Selenium.","
You need to make sure the standalone ChromeDriver binary (which is different than the Chrome browser binary) is either in your path or available in the webdriver.chrome.driver environment variable.
see http://code.google.com/p/selenium/wiki/ChromeDriver for full information on how wire things up.
Edit:
Right, seems to be a bug in the Python bindings wrt reading the chromedriver binary from the path or the environment variable. Seems if chromedriver is not in your path you have to pass it in as an argument to the constructor.
import os
from selenium import webdriver

chromedriver = ""/Users/adam/Downloads/chromedriver""
os.environ[""webdriver.chrome.driver""] = chromedriver
driver = webdriver.Chrome(chromedriver)
driver.get(""http://stackoverflow.com"")
driver.quit()

",https://stackoverflow.com//questions/8255929/running-selenium-webdriver-python-bindings-in-chrome
windows - Cross-platform space remaining on volume using python,"I need a way to determine the space remaining on a disk volume using python on linux, Windows and OS X. I'm currently parsing the output of the various system calls (df, dir) to accomplish this - is there a better way?","
import ctypes
import os
import platform
import sys

def get_free_space_mb(dirname):
    """"""Return folder/drive free space (in megabytes).""""""
    if platform.system() == 'Windows':
        free_bytes = ctypes.c_ulonglong(0)
        ctypes.windll.kernel32.GetDiskFreeSpaceExW(ctypes.c_wchar_p(dirname), None, None, ctypes.pointer(free_bytes))
        return free_bytes.value / 1024 / 1024
    else:
        st = os.statvfs(dirname)
        return st.f_bavail * st.f_frsize / 1024 / 1024

Note that you must pass a directory name for GetDiskFreeSpaceEx() to work
(statvfs() works on both files and directories). You can get a directory name
from a file with os.path.dirname().
Also see the documentation for os.statvfs() and GetDiskFreeSpaceEx.
",https://stackoverflow.com//questions/51658/cross-platform-space-remaining-on-volume-using-python
linux - Run Python script at startup in Ubuntu,I have a short Python script that needs to run at startup - Ubuntu 13.10. I have tried everything I can think of but can't get it to run. The script:,"
Instructions

Copy the python file to /bin:
sudo cp -i /path/to/your_script.py /bin
Add A New Cron Job:
sudo crontab -e
Scroll to the bottom and add the following line (after all the #'s):
@reboot python /bin/your_script.py &
The “&” at the end of the line means the command is run in the background and it won’t stop the system booting up.
Test it:
sudo reboot

Practical example:

Add this file to your Desktop: test_code.py (run it to check that it works for you)
from os.path import expanduser
import datetime

file = open(expanduser(""~"") + '/Desktop/HERE.txt', 'w')
file.write(""It worked!\n"" + str(datetime.datetime.now()))
file.close()

Run the following commands:
sudo cp -i ~/Desktop/test_code.py /bin
sudo crontab -e
Add the following line and save it:
@reboot python /bin/test_code.py &
Now reboot your computer and you should find a new file on your Desktop: HERE.txt

",https://stackoverflow.com//questions/24518522/run-python-script-at-startup-in-ubuntu
Is there a way to figure out what is using a Linux kernel module?,"If I load a kernel module and list the loaded modules with lsmod, I can get the ""use count"" of the module (number of other modules with a reference to the module). Is there a way to figure out what is using a module, though?","
Actually, there seems to be a way to list processes that claim a module/driver - however, I haven't seen it advertised (outside of Linux kernel documentation), so I'll jot down my notes here:
First of all, many thanks for @haggai_e's answer; the pointer to the functions try_module_get and try_module_put as those responsible for managing the use count (refcount) was the key that allowed me to track down the procedure. 
Looking further for this online, I somehow stumbled upon the post Linux-Kernel Archive: [PATCH 1/2] tracing: Reduce overhead of module tracepoints; which finally pointed to a facility present in the kernel, known as (I guess) ""tracing""; the documentation for this is in the directory Documentation/trace - Linux kernel source tree. In particular, two files explain the tracing facility, events.txt and ftrace.txt.
But, there is also a short ""tracing mini-HOWTO"" on a running Linux system in /sys/kernel/debug/tracing/README (see also I'm really really tired of people saying that there's no documentation…); note that in the kernel source tree, this file is actually generated by the file kernel/trace/trace.c. I've tested this on Ubuntu natty, and note that since /sys is owned by root, you have to use sudo to read this file, as in sudo cat or 
sudo less /sys/kernel/debug/tracing/README

... and that goes for pretty much all other operations under /sys which will be described here. 

First of all, here is a simple minimal module/driver code (which I put together from the referred resources), which simply creates a /proc/testmod-sample file node, which returns the string ""This is testmod."" when it is being read; this is testmod.c:
/*
https://github.com/spotify/linux/blob/master/samples/tracepoints/tracepoint-sample.c
https://www.linux.com/learn/linux-training/37985-the-kernel-newbie-corner-kernel-debugging-using-proc-qsequenceq-files-part-1
*/

#include <linux/module.h>
#include <linux/sched.h>
#include <linux/proc_fs.h>
#include <linux/seq_file.h> // for sequence files

struct proc_dir_entry *pentry_sample;

char *defaultOutput = ""This is testmod."";


static int my_show(struct seq_file *m, void *v)
{
  seq_printf(m, ""%s\n"", defaultOutput);
  return 0;
}

static int my_open(struct inode *inode, struct file *file)
{
  return single_open(file, my_show, NULL);
}

static const struct file_operations mark_ops = {
  .owner    = THIS_MODULE,
  .open = my_open,
  .read = seq_read,
  .llseek   = seq_lseek,
  .release  = single_release,
};


static int __init sample_init(void)
{
  printk(KERN_ALERT ""sample init\n"");
  pentry_sample = proc_create(
    ""testmod-sample"", 0444, NULL, &mark_ops);
  if (!pentry_sample)
    return -EPERM;
  return 0;
}

static void __exit sample_exit(void)
{
    printk(KERN_ALERT ""sample exit\n"");
    remove_proc_entry(""testmod-sample"", NULL);
}

module_init(sample_init);
module_exit(sample_exit);

MODULE_LICENSE(""GPL"");
MODULE_AUTHOR(""Mathieu Desnoyers et al."");
MODULE_DESCRIPTION(""based on Tracepoint sample"");

This module can be built with the following Makefile (just have it placed in the same directory as testmod.c, and then run make in that same directory):
CONFIG_MODULE_FORCE_UNLOAD=y
# for oprofile
DEBUG_INFO=y
EXTRA_CFLAGS=-g -O0

obj-m += testmod.o

# mind the tab characters needed at start here:
all:
    make -C /lib/modules/$(shell uname -r)/build M=$(PWD) modules

clean:
    make -C /lib/modules/$(shell uname -r)/build M=$(PWD) clean

When this module/driver is built, the output is a kernel object file, testmod.ko. 

At this point, we can prepare the event tracing related to try_module_get and try_module_put; those are in /sys/kernel/debug/tracing/events/module:
$ sudo ls /sys/kernel/debug/tracing/events/module
enable  filter  module_free  module_get  module_load  module_put  module_request

Note that on my system, tracing is by default enabled:
$ sudo cat /sys/kernel/debug/tracing/tracing_enabled
1

... however, the module tracing (specifically) is not: 
$ sudo cat /sys/kernel/debug/tracing/events/module/enable
0

Now, we should first make a filter, that will react on the module_get, module_put etc events, but only for the testmod module. To do that, we should first check the format of the event: 
$ sudo cat /sys/kernel/debug/tracing/events/module/module_put/format
name: module_put
ID: 312
format:
...
    field:__data_loc char[] name;   offset:20;  size:4; signed:1;

print fmt: ""%s call_site=%pf refcnt=%d"", __get_str(name), (void *)REC->ip, REC->refcnt

Here we can see that there is a field called name, which holds the driver name, which we can filter against. To create a filter, we simply echo the filter string into the corresponding file: 
sudo bash -c ""echo name == testmod > /sys/kernel/debug/tracing/events/module/filter""

Here, first note that since we have to call sudo, we have to wrap the whole echo redirection as an argument command of a sudo-ed bash. Second, note that since we wrote to the ""parent"" module/filter, not the specific events (which would be module/module_put/filter etc), this filter will be applied to all events listed as ""children"" of module directory. 
Finally, we enable tracing for module: 
sudo bash -c ""echo 1 > /sys/kernel/debug/tracing/events/module/enable""

From this point on, we can read the trace log file; for me, reading the blocking, 
""piped"" version of the trace file worked - like this: 
sudo cat /sys/kernel/debug/tracing/trace_pipe | tee tracelog.txt

At this point, we will not see anything in the log - so it is time to load (and utilize, and remove) the driver (in a different terminal from where trace_pipe is being read):
$ sudo insmod ./testmod.ko
$ cat /proc/testmod-sample 
This is testmod.
$ sudo rmmod testmod

If we go back to the terminal where trace_pipe is being read, we should see something like:
# tracer: nop
#
#           TASK-PID    CPU#    TIMESTAMP  FUNCTION
#              | |       |          |         |
          insmod-21137 [001] 28038.101509: module_load: testmod
          insmod-21137 [001] 28038.103904: module_put: testmod call_site=sys_init_module refcnt=2
           rmmod-21354 [000] 28080.244448: module_free: testmod

That is pretty much all we will obtain for our testmod driver - the refcount changes only when the driver is loaded (insmod) or unloaded (rmmod), not when we do a read through cat. So we can simply interrupt the read from trace_pipe with CTRL+C in that terminal; and to stop the tracing altogether:
sudo bash -c ""echo 0 > /sys/kernel/debug/tracing/tracing_enabled""

Here, note that most examples refer to reading the file /sys/kernel/debug/tracing/trace instead of trace_pipe as here. However, one problem is that this file is not meant to be ""piped"" (so you shouldn't run a tail -f on this trace file); but instead you should re-read the trace after each operation. After the first insmod, we would obtain the same output from cat-ing both trace and trace_pipe; however, after the rmmod, reading the trace file would give:
   <...>-21137 [001] 28038.101509: module_load: testmod
   <...>-21137 [001] 28038.103904: module_put: testmod call_site=sys_init_module refcnt=2
   rmmod-21354 [000] 28080.244448: module_free: testmod

... that is: at this point, the insmod had already been exited for long, and so it doesn't exist anymore in the process list - and therefore cannot be found via the recorded process ID (PID) at the time - thus we get a blank <...> as process name. Therefore, it is better to log (via tee) a running output from trace_pipe in this case. Also, note that in order to clear/reset/erase the trace file, one simply writes a 0 to it: 
sudo bash -c ""echo 0 > /sys/kernel/debug/tracing/trace""

If this seems counterintuitive, note that trace is a special file, and will always report a file size of zero anyways: 
$ sudo ls -la /sys/kernel/debug/tracing/trace
-rw-r--r-- 1 root root 0 2013-03-19 06:39 /sys/kernel/debug/tracing/trace

... even if it is ""full"". 
Finally, note that if we didn't implement a filter, we would have obtained a log of all module calls on the running system - which would log any call (also background) to grep and such, as those use the binfmt_misc module: 
...
  tr-6232  [001] 25149.815373: module_put: binfmt_misc call_site=search_binary_handler refcnt=133194
..
  grep-6231  [001] 25149.816923: module_put: binfmt_misc call_site=search_binary_handler refcnt=133196
..
  cut-6233  [000] 25149.817842: module_put: binfmt_misc call_site=search_binary_handler refcnt=129669
..
  sudo-6234  [001] 25150.289519: module_put: binfmt_misc call_site=search_binary_handler refcnt=133198
..
  tail-6235  [000] 25150.316002: module_put: binfmt_misc call_site=search_binary_handler refcnt=129671

... which adds quite a bit of overhead (in both log data ammount, and processing time required to generate it).

While looking this up, I stumbled upon Debugging Linux Kernel by Ftrace PDF, which refers to a tool trace-cmd, which pretty much does the similar as above - but through an easier command line interface. There is also a ""front-end reader"" GUI for trace-cmd called KernelShark; both of these are also in Debian/Ubuntu repositories via sudo apt-get install trace-cmd kernelshark. These tools could be an alternative to the procedure described above. 
Finally, I'd just note that, while the above testmod example doesn't really show use in context of multiple claims, I have used the same tracing procedure to discover that an USB module I'm coding, was repeatedly claimed by pulseaudio as soon as the USB device was plugged in - so the procedure seems to work for such use cases.  
",https://stackoverflow.com//questions/448999/is-there-a-way-to-figure-out-what-is-using-a-linux-kernel-module
linux - Command to change the default home directory of a user, This question does not appear to be about programming within the scope defined in the help center.,"
Ibrahim's comment on the other answer is the correct way to alter an existing user's home directory. 
Change the user's home directory:
usermod -d /newhome/username username

usermod is the command to edit an existing user. 
-d (abbreviation for --home) will change the user's home directory.

Change the user's home directory + Move the contents of the user's current directory:
usermod -m -d /newhome/username username

-m (abbreviation for --move-home) will move the content from the user's current directory to the new directory.
",https://stackoverflow.com//questions/20797819/command-to-change-the-default-home-directory-of-a-user
excel - Convert xlsx to csv in Linux with command line,I'm looking for a way to convert xlsx files to csv files on Linux.,"
The Gnumeric spreadsheet application comes with a command line utility called ssconvert that can convert between a variety of spreadsheet formats:
$ ssconvert Book1.xlsx newfile.csv

Using exporter Gnumeric_stf:stf_csv

$ cat newfile.csv

Foo,Bar,Baz
1,2,3
123.6,7.89,
2012/05/14,,
The,last,Line

To install on Ubuntu:
apt-get install gnumeric

To install on Mac:
brew install gnumeric

",https://stackoverflow.com//questions/10557360/convert-xlsx-to-csv-in-linux-with-command-line
python - What is different between makedirs and mkdir of os?,I am confused to use about these two osmethods to create the new directory.,"
makedirs() creates all the intermediate directories if they don't exist (just like mkdir -p in bash).
mkdir() can create a single sub-directory, and will throw an exception if intermediate directories that don't exist are specified.
Either can be used to create a single 'leaf' directory (dirA):

os.mkdir('dirA')
os.makedirs('dirA')

But makedirs must be used to create 'branches':

os.makedirs('dirA/dirB') will work [the entire structure is created]

mkdir can work here if dirA already exists, but if it doesn't an error will be thrown.
Note that unlike mkdir -p in bash, either will fail if the leaf already exists.
",https://stackoverflow.com//questions/13819496/what-is-different-between-makedirs-and-mkdir-of-os
linux - select vs poll vs epoll,"I am designing a new server which needs to support thousands of UDP connections (somewhere around 100,000 sessions). Any input or suggestions on which one to use?","
The answer is epoll if you're using Linux, kqueue if you're using FreeBSD or Mac OS X, and i/o completion ports if you're on Windows.
Some additional things you'll (almost certainly) want to research are:

Load balancing techniques
Multi-threaded networking
Database architecture
Perfect hash tables

Additionally, it is important to note that UDP does not have ""connections"" as opposed to TCP. It would also be in your best interest to start small and scale larger since debugging network-based solutions can be challenging.
",https://stackoverflow.com//questions/4039832/select-vs-poll-vs-epoll
linux - How to check existence of a folder with python and then remove it?,"I want to remove dataset folder from dataset3 folder. But the following code is not removing dataset. 
First I want to check if dataset already exist in dataset then remove dataset. 
Can some one please point out my mistake in following code?","
Python's os.rmdir() only works on empty the directories, however shutil.rmtree() doesn't care (even if there are subdirectories) which makes it very similar to the Linux rm -rf command.
import os
import shutil

dirpath = os.path.join('dataset3', 'dataset')
if os.path.exists(dirpath) and os.path.isdir(dirpath):
    shutil.rmtree(dirpath)

Modern approach
In Python 3.4+ you can do same thing using the pathlib module to make the code more object-oriented and readable:
from pathlib import Path
import shutil

dirpath = Path('dataset3') / 'dataset'
if dirpath.exists() and dirpath.is_dir():
    shutil.rmtree(dirpath)

",https://stackoverflow.com//questions/43765117/how-to-check-existence-of-a-folder-with-python-and-then-remove-it
ruby on rails - cache resources exhausted Imagemagick,I'm using Imagemagick on a rails app with Minimagick and I generate some pictogram with it.,"
Find the policy.xml with find / -name ""policy.xml""
something like /etc/ImageMagick-6/policy.xml
and change
<policy domain=""resource"" name=""disk"" value=""1GiB""/>

to
<policy domain=""resource"" name=""disk"" value=""8GiB""/>

refer to convert fails due to resource limits
Memory issues
",https://stackoverflow.com//questions/31407010/cache-resources-exhausted-imagemagick
gzip - Extract and delete all .gz in a directory- Linux,I have a directory. It has about 500K .gz files. ,"
This should do it:
gunzip *.gz

",https://stackoverflow.com//questions/16038087/extract-and-delete-all-gz-in-a-directory-linux
